State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,South Andaman,2022-01-04,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-05,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-06,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-07,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-08,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-11,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-09,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-10,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-12,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-13,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-15,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-16,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-14,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-17,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-18,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-20,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-19,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-21,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-22,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-25,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-23,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-24,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-27,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-26,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-29,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-28,2022,01,0,IMD GRID MODEL
Andaman & Nicobar,South Andaman,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-01,2022,01,0.379965295,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-02,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-07,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-11,2022,01,0.583011935,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-12,2022,01,0.003636822,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-13,2022,01,0.3870735,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-16,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-14,2022,01,0.070735006,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-15,2022,01,0.279112512,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-17,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-18,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-24,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-25,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-26,2022,01,0.205833673,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-28,2022,01,0.028993746,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-27,2022,01,0.671001975,IMD GRID MODEL
Andhra Pradesh,Ananthapur,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-01,2022,01,14.14490609,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-02,2022,01,0.857263465,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-04,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-05,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-06,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-07,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-09,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-08,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-11,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-10,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-12,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-13,2022,01,0.327152923,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-16,2022,01,1.117543374,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-14,2022,01,2.129212556,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-15,2022,01,1.965233225,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-17,2022,01,2.003398345,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-18,2022,01,0.405414402,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-24,2022,01,0.615237279,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-25,2022,01,0.925098007,IMD GRID MODEL
Andhra Pradesh,Chittoor,2022-01-27,2022,01,0.424843374,IMD GRID MODEL
